Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description,Year
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,315915,2023-09-07,Unauthorized Access/Disclosure,Network Server,No,,2023
Amerita,KS,Healthcare Provider,219707,2023-09-05,Hacking/IT Incident,Network Server,No,,2023
Delta Dental of California,CA,Health Plan,501,2023-09-05,Hacking/IT Incident,Network Server,No,,2023
"Georgia Hand, Shoulder & Elbow, PC",GA,Healthcare Provider,20498,2023-09-01,Hacking/IT Incident,Email,No,,2023
"North Mississippi Medical Center, Inc.",MS,Healthcare Provider,950,2023-09-01,Hacking/IT Incident,Email,No,,2023
"PurFoods, LLC",IA,Healthcare Provider,1229333,2023-08-25,Hacking/IT Incident,Network Server,No,,2023
Associates in Pediatric Dentistry,LA,Healthcare Provider,9703,2023-08-25,Hacking/IT Incident,Email,No,,2023
PRIME THERAPEUTICS LLC,MN,Business Associate,6050,2023-08-23,Hacking/IT Incident,Network Server,Yes,,2023
Absolute Dental Services,NC,Business Associate,10037,2023-08-21,Hacking/IT Incident,Email,Yes,,2023
"Advanced Reproductive Health Center Ltd., d/b/a Chicago IVF",IL,Healthcare Provider,2603,2023-08-18,Hacking/IT Incident,Network Server,Yes,,2023
"Aspen Dental Management, Inc.",NY,Business Associate,62183,2023-08-18,Hacking/IT Incident,Network Server,Yes,,2023
"TAG Urgent Care Support Services, LLC",NY,Business Associate,516985,2023-08-18,Hacking/IT Incident,Network Server,Yes,,2023
"Privia Medical Group of Georgia, LLC",GA,Healthcare Provider,212789,2023-08-18,Hacking/IT Incident,Network Server,Yes,,2023
"SouthCoast Medical Group, LLC",GA,Healthcare Provider,501,2023-08-17,Hacking/IT Incident,Network Server,No,,2023
Morris Hospital & Healthcare Centers,IL,Healthcare Provider,248943,2023-08-17,Hacking/IT Incident,Network Server,No,,2023
"Kennedy University Hospital, Inc. t/a Jefferson Health ",NJ,Healthcare Provider,4140,2023-08-15,Unauthorized Access/Disclosure,Other Portable Electronic Device,No,,2023
"Monocacy Valley Dental Brian K. Motz, DDS, PC",MD,Healthcare Provider,4000,2023-08-15,Theft,Laptop,No,,2023
"Nice Pak Products Inc., Health and Welfare Benefits Plan",NJ,Health Plan,8487,2023-08-14,Hacking/IT Incident,Network Server,No,,2023
TRACT Radiology,MS,Business Associate,7810,2023-08-14,Hacking/IT Incident,Network Server,Yes,,2023
VNS Health Plans,NY,Health Plan,103775,2023-08-14,Hacking/IT Incident,Network Server,Yes,,2023
El Centro Del Barrio d/b/a CentroMed,TX,Healthcare Provider,350000,2023-08-11,Hacking/IT Incident,Network Server,No,,2023
Coastal Orthopedics & Sports Medicine of Southwest Florida,FL,Healthcare Provider,203427,2023-08-10,Hacking/IT Incident,Network Server,No,,2023
Allison Transmission Inc. Health Care Program for Hourly Employees / Wellness Program for Salaried Employees,IN,Business Associate,5330,2023-08-10,Hacking/IT Incident,Network Server,Yes,,2023
Harris Eye Care,MI,Healthcare Provider,6267,2023-08-08,Hacking/IT Incident,Network Server,No,,2023
Cranberry Township Emergency Medical Service,PA,Healthcare Provider,1247,2023-08-07,Hacking/IT Incident,Network Server,Yes,,2023
"Gary Motykie, M.D., a Medical Corporation ",CA,Healthcare Provider,3400,2023-08-05,Hacking/IT Incident,"Desktop Computer, Network Server",No,,2023
Radius Global Solutions,MN,Business Associate,632204,2023-08-04,Hacking/IT Incident,Network Server,Yes,,2023
"Maximus, Inc.",VA,Business Associate,9179226,2023-08-04,Hacking/IT Incident,Network Server,Yes,,2023
Unum Group SACE,TN,Health Plan,531732,2023-08-03,Hacking/IT Incident,Network Server,No,,2023
Self-insured group health plans sponsored by the City of Dallas,TX,Health Plan,30253,2023-08-03,Hacking/IT Incident,Network Server,No,,2023
Plumbers Local 8 Health & Welfare Fund,MO,Health Plan,4790,2023-08-02,Hacking/IT Incident,Email,No,,2023
HCA Healthcare,TN,Business Associate,11270000,2023-07-31,Hacking/IT Incident,Network Server,Yes,,2023
"Dean Health Service Company, LLC (referenced herein as ""WellFirst Health"")",MN,Business Associate,1027,2023-07-28,Hacking/IT Incident,Network Server,Yes,,2023
The Chattanooga Heart Institute,TN,Healthcare Provider,170450,2023-07-28,Hacking/IT Incident,Network Server,No,,2023
"Florida Health Sciences Center, Inc. dba Tampa General Hospital ",FL,Healthcare Provider,2430920,2023-07-28,Hacking/IT Incident,Network Server,No,,2023
Centers for Medicare & Medicaid Services,MD,Health Plan,2342357,2023-07-28,Hacking/IT Incident,Network Server,Yes,,2023
CareSource,OH,Business Associate,3180537,2023-07-27,Unauthorized Access/Disclosure,Network Server,No,,2023
"Hillsborough County, Florida (County Government)",FL,Healthcare Provider,70636,2023-07-26,Hacking/IT Incident,Network Server,No,,2023
"Life Management Center of Northwest Florida, Inc. ",FL,Healthcare Provider,19107,2023-07-25,Hacking/IT Incident,Network Server,No,,2023
"Family Vision of Anderson, P.A.",SC,Healthcare Provider,62631,2023-07-25,Hacking/IT Incident,Network Server,No,,2023
Bi-Bett Corporation,CA,Business Associate,4722,2023-07-25,Hacking/IT Incident,Email,Yes,,2023
UT Southwestern Medical Center,TX,Healthcare Provider,98437,2023-07-24,Hacking/IT Incident,Network Server,No,,2023
Paramedic Billing Services,IL,Healthcare Clearing House,501,2023-07-21,Hacking/IT Incident,Network Server,No,,2023
Harris County Hospital District d/b/a Harris Health System ,TX,Healthcare Provider,455676,2023-07-21,Hacking/IT Incident,Network Server,No,,2023
"Batesville Tool & Die, Inc.",IN,Health Plan,574,2023-07-21,Hacking/IT Incident,Network Server,No,,2023
Pennsylvania Department of Human Services,PA,Healthcare Provider,16390,2023-07-21,Unauthorized Access/Disclosure,Network Server,No,,2023
"New England Life Care, Inc.",ME,Healthcare Provider,51854,2023-07-21,Hacking/IT Incident,Network Server,No,,2023
"Mindful Innovations, PLLC",NC,Healthcare Provider,1900,2023-07-20,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Laptop",No,,2023
"Associated Pathologists, LLC dba PathGroup Health Plan",TN,Health Plan,2031,2023-07-18,Hacking/IT Incident,Network Server,Yes,,2023
ACUPUNCTURE AND INTEGRATIVE SOLUTIONS INCORPORATED,OH,Healthcare Provider,750,2023-07-18,Hacking/IT Incident,Network Server,No,,2023
"IVF Michigan, P.C.",MI,Healthcare Provider,9383,2023-07-18,Hacking/IT Incident,Network Server,No,,2023
Wake Family Eye Care,NC,Healthcare Provider,14264,2023-07-14,Hacking/IT Incident,Network Server,No,,2023
Beacon Specialized Living,MI,Healthcare Provider,3338,2023-07-13,Hacking/IT Incident,Network Server,No,,2023
East Houston Medicine and Pediatrics Clinic,TX,Healthcare Provider,13184,2023-07-13,Loss,Paper/Films,No,,2023
Kansas Joint & Spine Specialists ,KS,Healthcare Provider,83869,2023-07-12,Hacking/IT Incident,Network Server,No,,2023
Konen & Associates dba Unified Pain Management ,TX,Healthcare Provider,5922,2023-07-12,Hacking/IT Incident,Email,No,,2023
Aria Care Partners ,KS,Healthcare Provider,77405,2023-07-11,Hacking/IT Incident,Network Server,No,,2023
Catholic Charities of the Archdiocese of Newark,NJ,Healthcare Provider,9895,2023-07-07,Hacking/IT Incident,Network Server,No,,2023
Precision Anesthesia Billing LLC,FL,Business Associate,209200,2023-07-07,Hacking/IT Incident,Network Server,Yes,,2023
"Miracle-Ear Flagship, LLC",MN,Healthcare Provider,3560,2023-07-07,Hacking/IT Incident,Email,No,,2023
"Parsley Health, Inc. ",NY,Business Associate,1004,2023-07-07,Unauthorized Access/Disclosure,Network Server,Yes,,2023
Public Health Management Corporation,PA,Healthcare Provider,501,2023-07-06,Hacking/IT Incident,Network Server,No,,2023
ARx Patient Solutions,KS,Healthcare Provider,41166,2023-06-30,Unauthorized Access/Disclosure,Email,No,,2023
"Mount Desert Island Hospital, Inc.",ME,Healthcare Provider,29952,2023-06-30,Hacking/IT Incident,Network Server,No,,2023
"South Suburban Surgical Suites, LLC",IN,Healthcare Provider,5340,2023-06-30,Hacking/IT Incident,Email,No,,2023
"Advanced Medical Management, LLC",MD,Business Associate,319485,2023-06-29,Hacking/IT Incident,Network Server,Yes,,2023
Henrietta Johnson Medical Center,DE,Healthcare Provider,500,2023-06-27,Hacking/IT Incident,Network Server,Yes,,2023
Activate Healthcare LLC,IL,Healthcare Provider,93761,2023-06-23,Hacking/IT Incident,Network Server,No,,2023
Desert Physicians Management,CA,Business Associate,63713,2023-06-22,Hacking/IT Incident,Network Server,Yes,,2023
"Vitra Home Care, LLC",MA,Business Associate,658,2023-06-22,Hacking/IT Incident,Email,Yes,,2023
"DMS Health Technologies, Inc. ",ND,Healthcare Provider,48336,2023-06-21,Hacking/IT Incident,Network Server,No,,2023
Murfreesboro Medical Clinic & SurgiCenter,TN,Healthcare Provider,559000,2023-06-21,Hacking/IT Incident,Network Server,No,,2023
"Peachtree Orthopaedic Clinic, P.A.",GA,Healthcare Provider,34691,2023-06-19,Hacking/IT Incident,Network Server,No,,2023
Atrium Health Wake Forest Baptist ,NC,Healthcare Provider,3679,2023-06-16,Hacking/IT Incident,Email,No,,2023
"New Horizons Medical, Inc",MA,Healthcare Provider,12317,2023-06-16,Hacking/IT Incident,Network Server,No,,2023
Parker Drilling Company Group Health and Flexible Benefit Plan,TX,Health Plan,5973,2023-06-15,Hacking/IT Incident,Network Server,No,,2023
Uponor North America,MN,Health Plan,1048,2023-06-08,Hacking/IT Incident,Network Server,No,,2023
"Intellihartx, LLC",TN,Business Associate,489830,2023-06-08,Hacking/IT Incident,Network Server,Yes,,2023
"Enzo Clinical Labs, Inc.",NY,Healthcare Provider,2470000,2023-06-05,Hacking/IT Incident,Network Server,No,,2023
"South Jersey Behavorial Health Resources, Inc.",NJ,Healthcare Provider,501,2023-06-04,Hacking/IT Incident,Network Server,No,,2023
"John N. Evans, DPM",MI,Healthcare Provider,15512,2023-06-03,Hacking/IT Incident,Network Server,No,,2023
Unified Operations Virginia LP,FL,Business Associate,501,2023-06-02,Hacking/IT Incident,Network Server,Yes,,2023
"CareNet Medical Group, PC",NY,Healthcare Provider,10059,2023-06-02,Hacking/IT Incident,Network Server,No,,2023
Classic Residence Management Limited Partnership,IL,Healthcare Provider,12405,2023-06-02,Hacking/IT Incident,Network Server,No,,2023
Elgon Information Systems,MA,Business Associate,31248,2023-06-02,Hacking/IT Incident,Network Server,Yes,,2023
Pain Relief Centers PA,NC,Healthcare Provider,7000,2023-06-01,Unauthorized Access/Disclosure,Electronic Medical Record,No,,2023
Builders FirstSource Flex Plan,TX,Health Plan,3690,2023-05-30,Hacking/IT Incident,Network Server,No,,2023
Onix Group,PA,Business Associate,319500,2023-05-26,Hacking/IT Incident,Network Server,Yes,,2023
North Shore Medical Labs,NY,Healthcare Provider,500,2023-05-26,Hacking/IT Incident,Network Server,No,,2023
"South Jersey Behavioral Health Resources, Inc.",NJ,Healthcare Provider,2193,2023-05-26,Hacking/IT Incident,Email,No,,2023
Lancaster Orthopedic Group,PA,Healthcare Provider,1784,2023-05-26,Hacking/IT Incident,Network Server,No,,2023
"Albany ENT & Allergy Services, PC.",NY,Healthcare Provider,224486,2023-05-25,Hacking/IT Incident,Network Server,No,,2023
Asian Health Services,CA,Healthcare Provider,6270,2023-05-25,Hacking/IT Incident,Email,No,,2023
"Goodwill Industries of Greater New York and Northern NJ, Inc.",NY,Healthcare Provider,805,2023-05-24,Hacking/IT Incident,Email,No,,2023
Harvard Pilgrim Health Care,MA,Health Plan,2624191,2023-05-24,Hacking/IT Incident,Network Server,No,,2023
"MedInform, Inc.",OH,Business Associate,14453,2023-05-24,Hacking/IT Incident,Network Server,Yes,,2023
PillPack LLC,NH,Healthcare Provider,19032,2023-05-19,Hacking/IT Incident,Network Server,No,,2023
University of Missouri Health Care ,MO,Healthcare Provider,736,2023-05-17,Unauthorized Access/Disclosure,Electronic Medical Record,No,,2023
"Essen Medical Associates, P.C.",NY,Healthcare Provider,500,2023-05-16,Hacking/IT Incident,Network Server,No,,2023
Lehigh Valley Health Network (blackcat),PA,Healthcare Provider,248359,2023-05-15,Hacking/IT Incident,Network Server,No,,2023
PharMerica Corporation,KY,Healthcare Provider,5815591,2023-05-12,Hacking/IT Incident,Network Server,No,,2023
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services",IL,Health Plan,50839,2023-05-12,Hacking/IT Incident,Network Server,No,,2023
"IMA Financial Group, Inc.",KS,Business Associate,5242,2023-05-10,Hacking/IT Incident,Network Server,Yes,,2023
"Our Sunday Visitor, Inc.",IN,Health Plan,965,2023-05-05,Hacking/IT Incident,Network Server,No,,2023
Methodist Family Health,AR,Healthcare Provider,5259,2023-05-03,Hacking/IT Incident,Network Server,No,,2023
Northwest Health – La Porte,IN,Healthcare Provider,10256,2023-05-02,Unauthorized Access/Disclosure,Paper/Films,No,,2023
Link Audiology LLC,WA,Healthcare Provider,7200,2023-04-28,Hacking/IT Incident,Email,No,,2023
Allina Health,MN,Healthcare Provider,1042,2023-04-28,Unauthorized Access/Disclosure,Network Server,No,,2023
"Unlimited Care, Inc. ",NY,Healthcare Provider,8453,2023-04-27,Hacking/IT Incident,Network Server,No,,2023
"University of California, San Francisco",CA,Healthcare Provider,676,2023-04-26,Hacking/IT Incident,Email,No,,2023
"CounSol, LLC",FL,Business Associate,4277,2023-04-25,Unauthorized Access/Disclosure,Network Server,Yes,,2023
Lake County Health Department and Community Health Center,IL,Healthcare Provider,17000,2023-04-25,Hacking/IT Incident,Email,No,,2023
Mars Area School District  ,PA,Health Plan,1270,2023-04-24,Hacking/IT Incident,Network Server,No,,2023
"Upstream RollCo, LLC",AL,Healthcare Provider,748678,2023-04-22,Hacking/IT Incident,Email,No,,2023
Robeson Health Care Corporation,NC,Healthcare Provider,15045,2023-04-21,Hacking/IT Incident,Network Server,No,,2023
Modern Cardiology Associates,,Healthcare Provider,10000,2023-04-19,Hacking/IT Incident,Network Server,No,,2023
Graceworks Lutheran Services,OH,Healthcare Provider,6737,2023-04-19,Hacking/IT Incident,Network Server,No,,2023
MiniMed Distribution Corp.,CA,Healthcare Provider,58374,2023-04-14,Unauthorized Access/Disclosure,Network Server,No,,2023
Dallas County,TX,Healthcare Provider,501,2023-04-14,Improper Disposal,Desktop Computer,No,,2023
Henry County Hospital,OH,Healthcare Provider,3689,2023-04-14,Hacking/IT Incident,Network Server,Yes,,2023
"NationsBenefits Holdings, LLC",FL,Business Associate,3037303,2023-04-13,Hacking/IT Incident,Network Server,Yes,,2023
Cummins Behavioral Health Systems,IN,Healthcare Provider,501,2023-04-12,Hacking/IT Incident,Network Server,No,,2023
Iowa Department of Health and Human Services - Iowa Medicaid Enterprise (Iowa HHS-IME),IA,Health Plan,20815,2023-04-10,Hacking/IT Incident,Network Server,Yes,,2023
"La Clínica de La Raza, Inc.",CA,Healthcare Provider,15316,2023-04-07,Hacking/IT Incident,Email,No,,2023
Gretna Family Health,NE,Healthcare Provider,845,2023-04-07,Hacking/IT Incident,Network Server,No,,2023
NORTHEAST BEHAVIORAL HEALTH CARE CONSORTIUM,PA,Health Plan,13240,2023-04-05,Hacking/IT Incident,Email,No,,2023
Southwest Healthcare Services,ND,Healthcare Provider,15996,2023-04-01,Hacking/IT Incident,Network Server,No,,2023
"Monument, Inc.",NY,Business Associate,108584,2023-03-31,Unauthorized Access/Disclosure,Network Server,Yes,,2023
"ProSmile Holdings, LLC",NJ,Business Associate,39674,2023-03-28,Hacking/IT Incident,Email,Yes,,2023
"Nonstop Administration and Insurance Services, Inc.",PA,Business Associate,8571,2023-03-27,Hacking/IT Incident,Network Server,Yes,,2023
Atlantic General Hospital,MD,Healthcare Provider,26591,2023-03-24,Hacking/IT Incident,Network Server,No,,2023
NewYork-Presbyterian Hospital,NY,Healthcare Provider,54396,2023-03-20,Unauthorized Access/Disclosure,Network Server,No,,2023
Health Plan of San Mateo,CA,Health Plan,11894,2023-03-17,Hacking/IT Incident,Email,No,,2023
"Community Health Systems Professional Services Corporations (CHSPSC), LLC",TN,Business Associate,962884,2023-03-16,Hacking/IT Incident,Network Server,Yes,,2023
"AllCare Plus Pharmacy, Inc.",MA,Healthcare Provider,757,2023-03-15,Hacking/IT Incident,Email,No,,2023
Healthy Options dba Postal Prescription Services – Kroger ,OH,Healthcare Provider,82466,2023-03-15,Unauthorized Access/Disclosure,Network Server,No,,2023
Top of the World Ranch Treatment Center,IL,Healthcare Provider,1980,2023-03-14,Hacking/IT Incident,Email,No,,2023
NorthStar Emergency Medical Services,AL,Healthcare Provider,82450,2023-03-14,Hacking/IT Incident,Network Server,No,,2023
ZOLL Services LLC ,MA,Healthcare Provider,997097,2023-03-10,Hacking/IT Incident,Network Server,No,,2023
"Colquitt Complete Care, LLC",GA,Healthcare Provider,1282,2023-03-10,Hacking/IT Incident,Network Server,Yes,,2023
The M K Morse Company's Health Plan,OH,Health Plan,1378,2023-03-08,Hacking/IT Incident,Network Server,No,,2023
"SundaySky, Inc.",NY,Business Associate,37095,2023-03-07,Hacking/IT Incident,Network Server,Yes,,2023
Trinity Health,MI,Business Associate,45350,2023-03-06,Hacking/IT Incident,Email,Yes,,2023
"Northeast Surgical Group, PC",MI,Healthcare Provider,15298,2023-03-06,Hacking/IT Incident,Network Server,No,,2023
Denver Public Schools Medical Plans,CO,Health Plan,35068,2023-03-03,Hacking/IT Incident,Network Server,No,,2023
Codman Square Health Center,MA,Healthcare Provider,10161,2023-03-01,Hacking/IT Incident,Network Server,No,,2023
MHMR Authority of Brazos Valley ,TX,Healthcare Provider,78984,2023-02-28,Hacking/IT Incident,Network Server,No,,2023
Community Health Group ,CA,Health Plan,824,2023-02-28,Hacking/IT Incident,Network Server,Yes,,2023
Harrisburg Medical Center (“HMC”),IL,Healthcare Provider,147826,2023-02-21,Hacking/IT Incident,Network Server,No,,2023
Shady Lane Nursing Home,NJ,Healthcare Provider,566,2023-02-17,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No,,2023
Jackson Lewis P.C. ,CA,Business Associate,986,2023-02-17,Theft,Other Portable Electronic Device,Yes,,2023
"Reventics, LLC",FL,Business Associate,4212823,2023-02-10,Hacking/IT Incident,Network Server,Yes,,2023
Compass Behavioral Health,KS,Healthcare Provider,537,2023-02-10,Hacking/IT Incident,Email,No,,2023
Highmark Inc,PA,Business Associate,36600,2023-02-10,Hacking/IT Incident,Email,Yes,,2023
"Cheyenne Radiology Group & MRI, P.C.",WY,Healthcare Provider,12222,2023-02-09,Hacking/IT Incident,Network Server,No,,2023
Health Benefit Plan of Bridgewater-Raritan Regional School District,NJ,Health Plan,3909,2023-02-09,Hacking/IT Incident,Network Server,No,,2023
"90 Degree Benefits, Inc.",WI,Business Associate,175000,2023-02-08,Hacking/IT Incident,Network Server,Yes,,2023
"NR Pennsylvania Associates, LLC",PA,Healthcare Provider,14335,2023-02-07,Hacking/IT Incident,Network Server,No,,2023
"Frank R. Laurri, M.D. and Associates, P.C.",NY,Healthcare Provider,2673,2023-02-07,Unauthorized Access/Disclosure,Electronic Medical Record,No,,2023
"Vitra Health, Inc.",MA,Healthcare Provider,1618,2023-02-06,Hacking/IT Incident,Email,No,,2023
Cardiovascular Associates,AL,Healthcare Provider,441640,2023-02-03,Hacking/IT Incident,Network Server,No,,2023
"Arizona Health Advantage, Inc. d/b/a Arizona Priority Care; AZPC Clinics, LLC; and the health plans for which APC has executed a BAA, listed below",AZ,Healthcare Provider,10978,2023-02-01,Hacking/IT Incident,Network Server,No,,2023
"Regal Medical Group,Lakeside Medical Organization, ADOC Acquisition, & Greater Covina Medical Group",CA,Healthcare Provider,3388856,2023-02-01,Hacking/IT Incident,Network Server,No,,2023
Brooks Rehabilitation,FL,Healthcare Provider,1554,2023-01-31,Unauthorized Access/Disclosure,Network Server,No,,2023
DotHouse Health Incorporated,MA,Healthcare Provider,10000,2023-01-27,Hacking/IT Incident,Network Server,No,,2023
"Benefit Administrative Systems, LLC (BAS)",IL,Business Associate,6465,2023-01-27,Hacking/IT Incident,Network Server,Yes,,2023
Minuteman Senior Services,MA,Healthcare Provider,500,2023-01-27,Hacking/IT Incident,Email,No,,2023
"Peachtree Immediate Care FP, LLC",GA,Healthcare Provider,2555,2023-01-23,Unauthorized Access/Disclosure,Paper/Films,Yes,,2023
One Brooklyn Health System,NY,Healthcare Provider,500,2023-01-18,Hacking/IT Incident,Network Server,No,,2023
"DPP II, LLC",TX,Healthcare Provider,125981,2023-01-12,Hacking/IT Incident,Network Server,No,,2023
Insulet Corporation,MA,Healthcare Provider,29000,2023-01-05,Unauthorized Access/Disclosure,Network Server,No,,2023
